tile,status,rows,cols,missing_path_gain_cells,height_covered_cells,seconds,error
tile_000322,ok,128,128,4328,5785,0.102,
tile_000323,ok,128,128,4648,6310,0.128,
tile_000324,ok,128,128,3990,4551,0.064,
tile_000325,ok,128,128,4955,5821,0.054,
tile_000326,ok,128,128,3731,4964,0.076,
tile_000327,ok,128,128,3602,5635,0.101,
tile_000328,ok,128,128,3301,5288,0.062,
tile_000329,ok,128,128,4487,5294,0.064,
tile_000330,ok,128,128,6563,9414,0.12,
tile_000331,ok,128,128,3926,5693,0.074,
tile_000332,ok,128,128,3663,5699,0.078,
tile_000333,ok,128,128,6869,9974,0.1,
tile_000334,ok,128,128,3793,4641,0.049,
tile_000335,ok,128,128,3565,4683,0.075,
tile_000336,ok,128,128,5051,7330,0.092,
tile_000337,ok,128,128,3456,4252,0.053,
tile_000338,ok,128,128,3381,3911,0.045,
tile_000339,ok,128,128,4205,5405,0.103,
tile_000340,ok,128,128,3508,5212,0.078,
tile_000341,ok,128,128,4111,5650,0.057,
tile_000342,ok,128,128,4087,5920,0.1,
tile_000343,ok,128,128,5368,7902,0.119,
tile_000344,ok,128,128,4845,5732,0.049,
tile_000345,ok,128,128,3522,4395,0.113,
tile_000346,ok,128,128,4819,7397,0.111,
tile_000347,ok,128,128,3650,5414,0.072,
tile_000348,ok,128,128,3372,5237,0.087,
tile_000349,ok,128,128,3961,5750,0.08,
tile_000350,ok,128,128,4107,5894,0.096,
tile_000351,ok,128,128,5163,7516,0.12,
tile_000352,ok,128,128,7758,8759,0.069,
tile_000353,ok,128,128,3349,5067,0.101,
tile_000354,ok,128,128,4802,7340,0.101,
tile_000355,ok,128,128,3301,4528,0.136,
tile_000356,ok,128,128,4836,6154,0.119,
tile_000357,ok,128,128,3699,5327,0.056,
tile_000358,ok,128,128,4610,6666,0.105,
tile_000359,ok,128,128,4425,5934,0.102,
tile_000360,ok,128,128,3962,5631,0.093,
tile_000361,ok,128,128,5343,7312,0.12,
tile_000362,ok,128,128,4439,6658,0.097,
tile_000363,ok,128,128,3513,5439,0.077,
tile_000364,ok,128,128,3525,4498,0.134,
tile_000365,ok,128,128,4405,6328,0.092,
tile_000366,ok,128,128,7455,11125,0.128,
tile_000367,ok,128,128,3683,5678,0.084,
tile_000368,ok,128,128,3512,5742,0.108,
tile_000369,ok,128,128,3454,5022,0.078,
tile_000370,ok,128,128,3460,5377,0.091,
tile_000371,ok,128,128,4737,6883,0.097,
tile_000372,ok,128,128,3606,5192,0.07,
tile_000373,ok,128,128,7614,10519,0.112,
tile_000374,ok,128,128,6684,9304,0.107,
tile_000375,ok,128,128,4627,7153,0.08,
tile_000376,ok,128,128,4044,5903,0.078,
tile_000377,ok,128,128,4411,6117,0.123,
tile_000378,ok,128,128,5077,6881,0.124,
tile_000379,ok,128,128,3730,5332,0.074,
tile_000380,ok,128,128,4484,6785,0.087,
tile_000381,ok,128,128,3327,4070,0.059,
tile_000382,ok,128,128,4763,6020,0.063,
tile_000383,ok,128,128,4284,5613,0.063,
tile_000384,ok,128,128,3662,4542,0.06,
tile_000385,ok,128,128,5404,7573,0.135,
tile_000386,ok,128,128,4487,6727,0.093,
tile_000387,ok,128,128,4011,6293,0.084,
tile_000388,ok,128,128,3447,5100,0.093,
tile_000389,ok,128,128,3264,5040,0.104,
tile_000390,ok,128,128,3657,4268,0.052,
tile_000391,ok,128,128,4550,6398,0.072,
tile_000392,ok,128,128,4214,5548,0.091,
tile_000393,ok,128,128,3576,4837,0.103,
tile_000394,ok,128,128,5918,8929,0.105,
tile_000395,ok,128,128,4790,5197,0.054,
tile_000396,ok,128,128,3639,4231,0.057,
tile_000397,ok,128,128,5183,7974,0.1,
tile_000398,ok,128,128,3834,5905,0.076,
tile_000399,ok,128,128,4181,6021,0.08,
tile_000400,ok,128,128,5837,8288,0.13,
tile_000401,ok,128,128,5291,7571,0.11,
tile_000402,ok,128,128,3886,4055,0.052,
tile_000403,ok,128,128,5098,7713,0.12,
tile_000404,ok,128,128,3428,5091,0.101,
tile_000405,ok,128,128,4567,7087,0.083,
tile_000406,ok,128,128,3313,4322,0.053,
tile_000407,ok,128,128,3244,4689,0.067,
tile_000408,ok,128,128,4010,5455,0.059,
tile_000409,ok,128,128,3471,4958,0.087,
tile_000410,ok,128,128,3514,5290,0.071,
tile_000411,ok,128,128,4718,6712,0.127,
tile_000412,ok,128,128,6369,8948,0.149,
tile_000413,ok,128,128,3498,5263,0.088,
tile_000414,ok,128,128,4480,5704,0.13,
tile_000415,ok,128,128,3360,4616,0.088,
tile_000416,ok,128,128,4259,6394,0.101,
tile_000417,ok,128,128,4220,5041,0.063,
tile_000418,ok,128,128,6373,9313,0.089,
tile_000419,ok,128,128,4724,5558,0.065,
tile_000420,ok,128,128,3450,4743,0.104,
tile_000421,ok,128,128,4512,6149,0.093,
tile_000422,ok,128,128,3455,4953,0.101,
tile_000423,ok,128,128,5352,8050,0.09,
tile_000424,ok,128,128,3489,5192,0.074,
tile_000425,ok,128,128,3785,5307,0.079,
tile_000426,ok,128,128,5378,7804,0.079,
tile_000427,ok,128,128,3770,5878,0.082,
tile_000428,ok,128,128,4210,5494,0.055,
tile_000429,ok,128,128,3417,4847,0.056,
tile_000430,ok,128,128,3441,5040,0.066,
tile_000431,ok,128,128,3683,4547,0.061,
tile_000432,ok,128,128,3428,4244,0.054,
tile_000433,ok,128,128,4159,6267,0.104,
tile_000434,ok,128,128,4853,7090,0.101,
tile_000435,ok,128,128,4048,5791,0.083,
tile_000436,ok,128,128,3586,5538,0.069,
tile_000437,ok,128,128,3885,5902,0.074,
tile_000438,ok,128,128,3812,5918,0.065,
tile_000439,ok,128,128,3426,5293,0.075,
tile_000440,ok,128,128,4083,5281,0.076,
tile_000441,ok,128,128,3896,5451,0.071,
tile_000442,ok,128,128,4282,5263,0.063,
tile_000443,ok,128,128,3581,4610,0.055,
tile_000444,ok,128,128,5287,6229,0.067,
tile_000445,ok,128,128,4609,5878,0.069,
tile_000446,ok,128,128,3798,5780,0.09,
tile_000447,ok,128,128,3780,5306,0.066,
tile_000448,ok,128,128,4228,6459,0.073,
tile_000449,ok,128,128,3908,5520,0.1,
tile_000450,ok,128,128,3810,5147,0.059,
tile_000451,ok,128,128,3879,5625,0.081,
tile_000452,ok,128,128,3368,4921,0.055,
tile_000453,ok,128,128,6333,8470,0.154,
tile_000454,ok,128,128,4627,6117,0.058,
tile_000455,ok,128,128,3768,5763,0.077,
tile_000456,ok,128,128,3734,4895,0.063,
tile_000457,ok,128,128,5296,6264,0.064,
tile_000458,ok,128,128,3660,4818,0.064,
tile_000459,ok,128,128,3590,4735,0.082,
tile_000460,ok,128,128,3301,4732,0.069,
tile_000461,ok,128,128,4106,5680,0.067,
tile_000462,ok,128,128,4972,7157,0.172,
tile_000463,ok,128,128,3567,4894,0.084,
tile_000464,ok,128,128,3448,4620,0.063,
tile_000465,ok,128,128,4544,6324,0.114,
tile_000466,ok,128,128,5326,7749,0.122,
tile_000467,ok,128,128,7158,10938,0.126,
tile_000468,ok,128,128,7242,11151,0.145,
tile_000469,ok,128,128,3410,4797,0.073,
tile_000470,ok,128,128,4121,5973,0.073,
tile_000471,ok,128,128,3326,4353,0.072,
tile_000472,ok,128,128,3383,4648,0.058,
tile_000473,ok,128,128,3547,4086,0.067,
tile_000474,ok,128,128,6289,7138,0.056,
tile_000475,ok,128,128,3308,4528,0.062,
tile_000476,ok,128,128,5263,7574,0.099,
tile_000477,ok,128,128,3962,5575,0.145,
tile_000478,ok,128,128,3476,4273,0.069,
tile_000479,ok,128,128,5067,6761,0.089,
tile_000480,ok,128,128,3467,4311,0.095,
tile_000481,ok,128,128,3704,5280,0.126,
tile_000482,ok,128,128,5612,7954,0.102,
tile_000483,ok,128,128,3911,4994,0.068,
tile_000484,ok,128,128,4504,6138,0.115,
tile_000485,ok,128,128,3321,4820,0.073,
tile_000486,ok,128,128,5122,7030,0.091,
tile_000487,ok,128,128,5331,6888,0.085,
tile_000488,ok,128,128,4165,5503,0.074,
tile_000489,ok,128,128,4894,7105,0.1,
tile_000490,ok,128,128,6919,10140,0.147,
tile_000491,ok,128,128,6333,9468,0.121,
tile_000492,ok,128,128,3850,5263,0.085,
tile_000493,ok,128,128,3768,4585,0.062,
tile_000494,ok,128,128,3766,5623,0.111,
tile_000495,ok,128,128,4194,6187,0.111,
tile_000496,ok,128,128,3438,4933,0.062,
tile_000497,ok,128,128,3293,5147,0.067,
tile_000498,ok,128,128,4855,6490,0.059,
tile_000499,ok,128,128,4418,5687,0.062,
tile_000500,ok,128,128,4954,6751,0.151,
tile_000501,ok,128,128,4936,6721,0.117,
tile_000502,ok,128,128,3366,5078,0.077,
tile_000503,ok,128,128,3249,4249,0.052,
tile_000504,ok,128,128,7352,11156,0.128,
tile_000505,ok,128,128,8049,11731,0.157,
tile_000506,ok,128,128,5029,6219,0.051,
tile_000507,ok,128,128,4992,6512,0.102,
tile_000508,ok,128,128,4002,5412,0.081,
tile_000509,ok,128,128,3349,4188,0.059,
tile_000510,ok,128,128,3388,4653,0.06,
tile_000511,ok,128,128,3308,4738,0.093,
tile_000512,ok,128,128,3672,5168,0.121,
tile_000513,ok,128,128,3361,4676,0.062,
tile_000514,ok,128,128,4456,5775,0.061,
tile_000515,ok,128,128,3592,4979,0.059,
tile_000516,ok,128,128,3663,4919,0.057,
tile_000517,ok,128,128,3837,4552,0.059,
tile_000518,ok,128,128,4949,7478,0.139,
tile_000519,ok,128,128,4198,5836,0.087,
tile_000520,ok,128,128,4601,5050,0.045,
tile_000521,ok,128,128,5121,6622,0.055,
tile_000522,ok,128,128,3986,5898,0.114,
tile_000523,ok,128,128,3332,5022,0.067,
tile_000524,ok,128,128,3767,5499,0.059,
tile_000525,ok,128,128,3432,5047,0.098,
tile_000526,ok,128,128,3692,4774,0.096,
tile_000527,ok,128,128,3734,4754,0.081,
tile_000528,ok,128,128,3293,4608,0.08,
tile_000529,ok,128,128,4064,5874,0.077,
tile_000530,ok,128,128,4080,5750,0.072,
tile_000531,ok,128,128,4980,6576,0.072,
tile_000532,ok,128,128,4042,5907,0.094,
tile_000533,ok,128,128,4196,6198,0.117,
tile_000534,ok,128,128,3699,5501,0.068,
tile_000535,ok,128,128,6268,9200,0.164,
tile_000536,ok,128,128,3897,5472,0.113,
tile_000537,ok,128,128,3468,4825,0.067,
tile_000538,ok,128,128,3271,4677,0.072,
tile_000539,ok,128,128,3542,4666,0.056,
tile_000540,ok,128,128,5531,7109,0.067,
tile_000541,ok,128,128,3276,4728,0.062,
tile_000542,ok,128,128,4393,5869,0.05,
tile_000543,ok,128,128,3414,4342,0.062,
tile_000544,ok,128,128,3609,4575,0.082,
tile_000545,ok,128,128,4226,6441,0.115,
tile_000546,ok,128,128,3679,5019,0.099,
tile_000547,ok,128,128,8318,12579,0.164,
tile_000548,ok,128,128,6932,10377,0.111,
tile_000549,ok,128,128,4035,5183,0.05,
tile_000550,ok,128,128,4894,6417,0.099,
tile_000551,ok,128,128,3610,4465,0.061,
tile_000552,ok,128,128,4666,6047,0.062,
tile_000553,ok,128,128,4014,5351,0.098,
tile_000554,ok,128,128,3721,5271,0.081,
tile_000555,ok,128,128,8939,12976,0.166,
tile_000556,ok,128,128,3413,5431,0.061,
tile_000557,ok,128,128,3261,4983,0.099,
tile_000558,ok,128,128,3604,5297,0.093,
tile_000559,ok,128,128,3274,4785,0.078,
tile_000560,ok,128,128,3263,5152,0.07,
tile_000561,ok,128,128,4318,6505,0.112,
tile_000562,ok,128,128,4325,5930,0.067,
tile_000563,ok,128,128,3854,5415,0.06,
tile_000564,ok,128,128,4553,5847,0.061,
tile_000565,ok,128,128,3999,5599,0.082,
tile_000566,ok,128,128,5520,7727,0.105,
tile_000567,ok,128,128,3932,5988,0.08,
tile_000568,ok,128,128,4696,5381,0.066,
tile_000569,ok,128,128,4514,6290,0.066,
tile_000570,ok,128,128,3306,5419,0.085,
tile_000571,ok,128,128,4245,6010,0.067,
tile_000572,ok,128,128,3834,5390,0.08,
tile_000573,ok,128,128,3339,5026,0.08,
tile_000574,ok,128,128,4565,6071,0.06,
tile_000575,ok,128,128,3697,5499,0.067,
tile_000576,ok,128,128,3829,5552,0.078,
tile_000577,ok,128,128,3970,5444,0.087,
tile_000578,ok,128,128,4322,5861,0.059,
tile_000579,ok,128,128,3552,4659,0.063,
